你是一个游戏本地化质检专家。请审查以下中英对照翻译，检查：
1. 错译 / 英文不自然
2. 漏译 / 语义偏差
3. 代码、标签（如 {icon1}、[color=xxx][/color]）、占位符格式错误
4. 术语一致性 — 必须使用标准术语表中的译法
5. 术语语法 — 检查术语的大小写（句首/句中）、单复数、冠词搭配

规则：
- 只列出需要修改的行
- 格式严格为：ID | 修正版译文
- 没有问题的行不要列出
- 如果全部没问题，回复"无需修改"

---以下是待审查内容（第2批，共4批）---

ID | 原文 | 译文
519 | 紧急封闭房间，不要让任何同伴进去，过一段是污染气体就自然消散了！ | Seal off the room immediately and don’t let any teammates go in, the toxic gas will disperse on its own after a while!
520 | 哇！快看！好多亮晶晶的硬壳子！还有大木头块！里面是什么？是吃的吗？ | Whoa! Look! So many shiny hard shells! And big wooden chunks! What’s inside? Is it food?
521 | “吱…小心！有股怪味，但…不像是毒气。像是…很久很久以前的味道。这些硬壳子，人类叫它‘罐头’，里面可能有能啃的东西。木头箱子…也许有软软的垫子？ | Squeak... Careful! There’s a weird smell, but... it doesn’t feel like poison gas. It’s more like... something from a long, long time ago. These hard shells, humans call them ‘cans’—there might be something edible inside. And those wooden crates... maybe they’ve got something soft and squishy like padding?
522 | 如果是食物，那可是大收获！如果是没用的东西，至少木头能当柴火烧。动手 | If it’s Food, that’s a big haul! If it’s something useless, at least it’ll make good firewood. Get to it
523 | 这…这谁藏的？不是我！绝对不是我！我的食物都…都上交给仓库了！ | W-Whose stash is this? It’s not mine! Definitely not mine! All my food… I already turned it all in to the Warehouse!
524 | 这藏东西的手法…跟你去年在通风管道里藏花生酱一模一样。还有这瓶盖…亮晶晶的，你的最爱。这半块南瓜…是上次庆丰收掉地上的那块吧？你居然没吃完？ | The way this stuff is hidden… it’s exactly like how you stashed peanut butter in the vents last year. And this bottle cap… all shiny, just the way you like it. And this half a pumpkin… that’s the piece that fell on the ground during the last harvest feast, isn’t it? You actually didn’t finish it?
525 | 跟你说过多少次！公共仓库才是安全的地方！ 私藏食物会发霉！这些私藏我就没收 | How many times do I have to tell you! The public Warehouse is the only safe place! Food you stash away in secret will just rot! I’m confiscating all of this hoarded stuff
526 | 对不起，下次我再不敢私藏了！原谅我.... | I’m sorry, I swear I’ll never stash anything away again next time! Please forgive me....
527 | 这次就全部没收了，下次注意点 | I’m taking all of it this time. Be more careful next time
528 | 这次就算了，不全部没收，给你留一些，下次注意点 | I’ll let it slide this time and won’t take everything. I’ll leave you a bit, but watch yourself next time
529 | …嗝~！怎…嗝~！怎么回事？嗝~！我停不下来！嗝~~！是不是中毒了？嗝！ | *Hic*~! Wha—*hic*~! What’s happening? *Hic*~! I can’t stop! *Hic*~~! Am I poisoned or something? *Hic*!
530 | 嗝~！气体成分…嗝~！主要是二氧化碳…嗝~！和微量惰性气体…嗝~！无毒！嗝~！但…嗝~！刺激膈肌！吱…嗝！ | *Hic*~! Gas composition… *hic*~! Mostly carbon dioxide… *hic*~! Plus trace inert gases… *hic*~! Non‑toxic! *hic*~! But… *hic*~! It irritates the diaphragm! Squeak… *hic*!
531 | 嗝~~~~！呼…吱…这感觉…嗝~！让我想起年轻时偷喝人类掉在地上的…嗝~！冒泡甜水…嗝~！别说…嗝~！打完还挺…嗝~！神清气爽？ | *Hic~~~~!* Haa… squeak… this feeling… *hic~!* really takes me back to when I was young, sneaking sips of that… *hic~!* bubbly sweet water humans dropped on the ground… *hic~!* Gotta say… *hic~!* after the fight I actually feel… *hic~!* kinda refreshed?
532 | 肯定是嗝~~~~墙壁裂缝的透出嗝~~~~的气体，赶紧嗝~~~~补上！ | It’s definitely the gas leaking hic~~~~ out through the crack in the wall, hurry up and hic~~~~ seal it!
533 | 好…好大的爪痕！比…比整个房间还大！是…是吃土拨鼠的丧尸！它…它就在附近吗？ | Th-that’s a huge claw mark! It’s b-bigger than the whole room! Is it… is it the zombie that eats marmots?! I-is it nearby?
534 | 是‘丧尸首领’…没想到…它就在附近 | It’s the ‘zombie boss’… I didn’t expect… it to be nearby
535 | 我们先处理掉这个爪痕，不要引起其他同胞的惊慌，然后必须抓紧和领袖大人同步这个事情 | Let’s deal with these claw marks first so we don’t alarm the others, then we need to report this to the Leader right away
536 | 无效！吱！所有方法无效！能量读数…无法解析！这…这墙是什么东西做的？是…神造的牢笼？ | No effect! Squeak! Nothing’s working! The energy readings… can’t be decoded! Wh-what is this wall made of? Is it… a divine prison?
537 | 看这个材质，好像哪里见过....我知道了这个是钻石！ | Look at this material, I feel like I’ve seen it somewhere before.... I know, this is Gems!
538 | 这么大一面墙都是钻石？那怎么办，我们的锄头根本没办法破坏它！ | This whole wall is made of Gems? What do we do, our hoes can’t even damage it!
539 | 这种材质的墙，必须用金刚钻才能破坏，我去找人帮忙！ | A wall made of this stuff can only be broken with a diamond drill. I’ll go find someone to help!
540 | 咦？这是什么东西，看着像是这个丧尸首领的”收藏品“，细看下，像...欧是一个雕像 | Huh? What’s this? Looks like some kind of “collection piece” belonging to this zombie leader. Looking closer, it seems like... oh, it’s a statue
541 | 这个雕像有股神奇的魔力，看着内心会涌现荣誉感，也对，这个算是我们击杀丧尸首领的战利品 | There’s something oddly magical about this statue. Just looking at it fills you with a sense of honor. Makes sense, though—this is basically our trophy from taking down the zombie boss
542 | 外面世界丧尸横行，同胞四处逃难，在我们避难所里面之所可以可以一次次击啥丧尸，正是靠的是勇气和不怕牺牲的精神！ | Outside, zombies are rampaging and our fellow survivors are fleeing for their lives, but the reason we can keep taking the fight to those zombies again and again here in our shelter is because we have courage and the spirit to face sacrifice without fear!
543 | 说不定以后击杀丧尸还会有新收获，我觉得需要建个荣誉陈列室，来表彰纪念我们的勇气！ | Who knows, maybe we’ll get some new spoils from taking down zombies in the future. I think we need to build an Art Gallery to commemorate and celebrate our courage!
544 | 太棒了，这个雕像就是我们第一件藏品 | Awesome, this statue is our very first exhibit
545 | 这个电路管理系统似乎又坏了 | Looks like this circuit management system is broken again
546 | 我来修理吧，之前发电厂的电路问题就是我处理的 | Let me handle the repairs. I was the one who fixed the Power Station’s wiring problem last time
547 | 这个地块这么大，挖的这么费劲，还以为有什么稀有矿石，结果居然是空的 | This plot is so big and such a pain to dig through, I thought there’d be some rare ore down here, but it turned out to be completely empty
548 | 不可能吧，我进去搜寻一下 | No way. I’ll go in and search around
549 | 太可怕，这个鬼房间居然还残留，这种可怕的武器-捕鼠夹 | Horrifying—this haunted room still has that terrifying weapon left behind—a mousetrap
550 | 地下不比地上，充满了未知性，以后挖地还是要小心谨慎一些 | The underground isn’t like the surface—it’s full of unknowns, so we’d better be more careful when we dig from now on
551 | 咦，这是什么...看着好像是一个日记？ | Huh, what’s this... Looks like a diary?
552 | 我看下....上面这个图案好像是一个路线？这个日记本署名.."尖牙" | Let me take a look.... The pattern up here looks like some kind of route? This journal is signed by... "Fang"
553 | "尖牙"？那个传说中最富有的先祖，据说它的宝物可以堆满一座城市，至今还没被我们发掘 | “Fang”? The legendary richest ancestor of all? They say his hoard could pile up to fill an entire city, and we still haven’t managed to uncover it
554 | 莫非...这个日记就记录着先祖的宝藏信息，可惜有些残破不全了 | Could it be... this diary holds details about the ancestors’ treasure? A shame parts of it are missing
555 | 先祖庇佑，原谅我们擅动您的遗物，不过仔细一想肥水不流外人田，如果能给予同胞一些帮助，想来先祖定会安息！ | Ancestors, please forgive us for meddling with your relics. Still, when you think about it, it’s better to keep blessings in the family—if these can help our own people, I’m sure you will rest easy!
556 | 日记记载的坐标是一个丧尸营地，里面全是强大的丧尸怪物，要不是先祖庇佑着我们，差点就全灭了 | The coordinates recorded in the diary led us to a zombie camp packed with powerful undead monsters. If not for the protection of our ancestors, we would’ve been wiped out
557 | 不过还好，还是收获了部分宝藏遗迹的线索，是一个新的坐标!我就说先祖不会为难它的后辈的！ | Good thing is, we still managed to dig up some clues about the treasure ruins—a new set of coordinates! I knew our ancestors wouldn’t make things hard for their descendants!
558 | 先祖也太狠了，费半天劲，才搜到这个新的遗迹线索，里面居然还是一个没听说过的地方，他们到底搞什么鬼？ | Our ancestors are brutal—after all that effort to finally dig up a new lead on the ruins, it turns out to point to some place no one’s ever even heard of. What the hell are they playing at?
559 | 日记本的材质好特殊，看着像是一种特殊金属的，不知道先祖是用什么材料打造的，要是能用这种材料打造装备，消灭丧尸就和砍瓜切菜一样简单！ | The material of this diary is really unusual. It looks like some kind of special metal. I have no idea what our ancestor used to make it, but if we could forge gear from this stuff, cutting down zombies would be as easy as slicing melons!
560 | 不知不觉我们已经收集4个线索了，不知道宝藏遗迹中里面放着什么好宝贝！ | Without even realizing it, we’ve already gathered 4 clues. I wonder what kind of treasure is hidden in those ancient ruins!
561 | 居然是传说品质的装备宝箱，先祖庇佑，有了它，我们的英雄定能快速清楚避难所周边所有的丧尸群！ | It’s actually a Legendary-quality equipment chest—our ancestors must be watching over us. With this, our Heros will be able to quickly wipe out all the zombie hordes around the shelter!
562 | 先祖的记载果然无误，在这个丧尸营地果然搜查到了宝藏线索！ | The ancestors’ records were indeed accurate—there really were treasure clues hidden in this zombie camp!
563 | 那是自然，只有成功鼠才配获得先祖的馈赠，这一切正是先祖的试炼！让我们看下线索中记录了什么？ | But of course. Only a successful mouse is worthy of the ancestors’ blessing—this is the ancestors’ trial! Now, let’s see what the clue says,
564 | 成功获取第二个线索，我已经迫不及待的想知道里面蕴藏的信息了！ | Now that I’ve secured the second clue, I can’t wait to uncover the Details hidden in it!
565 | 有武器了！我能1打5！ | Got a weapon! I can 1v5!
566 | 趁手的长矛！ | A handy spear!
567 | 这把弓正合我意！ | This bow is just my style!
568 | 哈停电了？这下连偷懒都显得合理了。 | Hah, the power’s out? Well, now even slacking off seems perfectly reasonable.
569 | 电没了，这日子还怎么过了。 | The power’s out—how are we supposed to live like this.
570 | 要不……趁黑摸点东西？ | So… how about we swipe a little something under cover of darkness?
571 | 没电连矿车都动不了，挖个啥的矿！ | With no power, we can’t even move the minecart—how are we supposed to mine anything!
572 | 黑成这样，矿道里怕不是要闹鬼…… | It’s so dark in here, this mine tunnel feels like it’s about to get haunted…
573 | 通风扇不转，待会儿怕不是要闷死！ | If that vent fan doesn’t start spinning, we’re gonna suffocate in here!
574 | 上头天天催产量，电都不给够！ | They’re on my back every day to boost output, but they won’t even give us enough power!
575 | 无敌了，黑得连自己的手都看不见！ | This is insane—it’s so dark I can’t even see my own hands!
576 | 刚种的苗，没光照全得死！ | Seedlings that just got planted will all die without any light!
577 | 温室灯灭了，南瓜怕是要蔫了！ | The greenhouse lights are out—the pumpkins are going to wilt!
578 | 这黑灯瞎火的，虫子怕不是要造反…… | It’s pitch-black out here—feels like the bugs are about to revolt…
579 | 炉子熄了，饭都做不了，饿死你们！ | The stove’s out—can’t even cook anymore. You can all starve!
580 | 黑成这样，切菜怕不是要剁到手！ | You’re so tanned, you’ll probably chop your own hand instead of the veggies!
581 | 连热水都烧不了，喝凉水去吧！ | You can’t even boil water—go drink it cold!
582 | 熔炉停了，铁都化不了，造个锤子！ | The forge’s dead, the iron won’t even melt—let’s just make a hammer!
583 | 刚淬火的刀，这下全废了！ | Damn it, the blade I just quenched is completely ruined!
584 | 电一停，我看这剑连树枝都砍不断。 | The moment the power’s out, I bet this sword couldn’t even cut through a twig.
585 | 黑成这样，组装零件全得靠摸！ | It’s so dark I have to put the parts together by feel!
586 | 没电这盾牌怕是要自己散架咯。 | Without power, this shield is liable to fall apart on its own.
587 | 现在连个像样的装备都打不出。 | I can’t even get a single decent piece of gear now.
588 | 手术灯灭了，这黑灯瞎火的怎么治疗？ | The surgical light’s out—how are we supposed to operate in the dark like this?
589 | 消毒设备用不了，医院要变停尸房！ | With the sterilization equipment down, the Infirmary is about to turn into a morgue!
590 | 冷藏柜断电，血清和药品全要报废！ | The refrigerator lost power—every vial of serum and every dose of medicine is going to be wasted!
591 | 黑灯瞎火的连丧尸从哪摸过来都不知道！ | It’s so pitch-dark you wouldn’t even see where the zombies are creeping in from!
592 | 唉，电都没有，这仗还怎么打？ | Man, the power’s out—how are we supposed to fight like this?
593 | 这么黑...那么多丧尸，我们真的能守住吗？ | It’s so dark... With that many zombies, can we really hold the line?
594 | 没电这生意还能不能做了 | How am I supposed to do business with no power?
595 | 停电了？收银机用不了啊！ | Power’s out? The register won’t work!
596 | 手电筒在哪儿？哦对……在货架上… | Where’s the flashlight? Oh, right… on the shelf…
597 | 糟了！实验数据还没保存！ | Oh no! The experiment data hasn’t been saved yet!
598 | 没电爱因斯坦来了也研究不出 | Even Einstein couldn’t Research anything without power
599 | 我的论文！下周就要提交了… | My thesis! It’s due next week…
600 | 搞什么鬼？！灯灭了还打什么比赛！ | What the hell?! How are we supposed to keep playing when the lights are out?!
601 | 观众都跑了？连对手都看不清！ | The crowd’s all gone? I can’t even make out my opponent!
602 | 不练了！这么黑练不了一点 | I’m done training! It’s way too dark to practice at all
603 | 黑灯瞎火的，盾牌撞到墙上了！ | It’s pitch black—I just slammed my shield into the wall!
604 | 连应急灯都没有？万一敌人夜袭... | We don’t even have emergency lights? What if the enemy attacks at night...
605 | 连火把都不给，难道要我们钻木取火？ | They won’t even give us a torch—are we supposed to start a fire by rubbing sticks together?
606 | 算了，没电有事明天再说 | Forget it, my battery’s dead—let’s talk about it tomorrow
607 | 黑成这样，怎么保养长矛？ | When it’s this worn out, how am I supposed to take care of the spear?
608 | 箭筒放哪儿了？黑漆漆的别踩断了！ | Where did you put the quiver? It’s pitch-black—don’t step on it and break it!
609 | 乌漆嘛黑的，谁来都射不中！ | Pitch-black out here, nobody can land a shot!
610 | 弓弦都看不清，万一受伤怎么办？！ | You can’t even see the bowstring—what if you get hurt?!
611 | 太好了，终于来电了！ | Yes! The power’s finally back on!
612 | 总算不用摸黑做事，电力恢复得真及时。 | Finally, I don’t have to work in the dark anymore—the Power came back just in time.
613 | 这下总算能正常生活了，感谢领袖大人！ | Looks like we can finally live a normal life. Thank you, my Leader!
614 | 电力稳定了，生活质量又能保证了。 | With the Power stabilized, our quality of life is secured again.
615 | 这新发电厂太棒了！不用担心会停电啦！ | This new Power Station is amazing! Now we don’t have to worry about blackouts anymore!
616 | 大家一起努力，生活一定会越来越好！ | If we all pull together, life is bound to get better and better!
617 | 资源充足，防御完善，生活幸福！ | Abundant resources, solid Defense, a happy life!
618 | 大家齐心协力，日子一定会越过越好！ | As long as we all pull together, life will only keep getting better!
619 | 有了稳定的电力，咱们避难所一定会越来越繁荣！ | With stable Power, our shelter is bound to grow more and more prosperous!
620 | 啊...被发现了...我这就回去... | Ah... you caught me... I’ll head back right away...
621 | 呃...其实我在...思考优化方案！ | Uh... actually I was... thinking about optimization plans!
622 | 好吧好吧...我承认偷懒了... | Alright, alright... I admit I was being lazy...
623 | 别盯着我看啦...我继续干活还不行吗？ | Quit staring at me... Can’t I just get back to work?
624 | 咳...刚才只是...思考人生！马上干活！ | Ahem... I was just... contemplating life! Back to work right now!
625 | 我错了我错了...这就加倍努力！ | My bad, my bad... I’ll work twice as hard!
626 | 今天状态不佳...调整一下... | Not feeling great today... need to readjust...
627 | 再数到十就开工... | Count to ten, then we get to work...
628 | 休息是为了更好的挖掘！ | Rest now to dig even better!
629 | 看不到我，看不到我。 | You can’t see me, you can’t see me.
630 | 嗯我已经很努力，休息一下。 | Yeah, I’ve tried my best. Time for a break.
631 | 休息是为了更好的工作，先休息再说！ | Rest now so you can work better later, just take a break first!
632 | 好累，不想工作了... | I’m so tired, I don’t want to work anymore...
633 | 挖洞算不算有氧运动，看来没必要去健身房了。 | Does digging holes count as cardio? Guess I don’t need to go to the Gym anymore.
634 | 怎么感觉越健身，挖洞越累呢... | Why does it feel like the more I work out, the harder digging gets...
635 | 食堂的饭菜越来越少了…干活都没力气… | The food in the cafeteria keeps getting scarcer... I barely have the strength to work..
636 | 餐厅再不加餐…我直接挖个洞躺进去算了… | If the canteen doesn’t add any more dishes soon… I might as well just dig a hole and lie in it…
637 | 餐厅的汤淡得像雨水…干完活连口热乎的都没有… | The soup in the canteen is as bland as rainwater… After finishing work, there isn’t even a single hot bite to be had…
638 | 医生让我多运动…我天天挖洞还不够？ | The doctor told me to exercise more… Aren’t I digging holes every day already?
639 | 体检说我超重…明明是我毛蓬松！ | The checkup says I’m overweight… It’s just my fluffy fur!
640 | 医生开的药苦得我想吐…干活都分心 | The meds the doctor prescribed are so bitter they’re making me want to throw up… I can’t focus on my work
641 | 自动射击 | Auto-Fire
642 | 火力支援 | Fire Support
643 | 磷光导弹 | Phosphorescent Missile
644 | 导弹轰击 | Missile Barrage
645 | 激光射击 | Laser Shooting
646 | 高能光线 | High-Energy Beam
647 | 迅猛投掷 | Rapid Throw
648 | 螺旋突袭 | Spiral Assault
649 | 戳刺打击 | Piercing Strike
650 | 天降正义 | Justice from Above
651 | 格斗术 | Combat Techniques
652 | 致命冲击 | Lethal Strike
653 | 狙击 | Sniping
654 | 绝命狙击 | Deadly Sniper
655 | 投掷炸弹 | Throw Bomb
656 | 通古斯爆炸 | Tunguska Event
657 | 魔术牌 | Magic Card
658 | 紧急治愈 | Emergency Heal
659 | 鞭击 | Whiplash
660 | 鞭笞猛击 | Savage Whip Strike
661 | 挥砍 | Slash
662 | 盾击 | Shield Bash
663 | 精准射击 | Precision Shot
664 | 连珠箭 | Chain Arrows
665 | 刺击 | Thrust
666 | 疾风突刺 | Gale Thrust
667 | 霰弹射击 | Scatter Shot
668 | 快枪连射 | Rapid Fire
669 | 扫射目标敌人造成{num1}%伤害 | Strafe the target enemy for {num1}% damage
670 | 从天召唤导弹攻击地面，造成{num1}%伤害，并使自身防御提升{num2}%，持续5秒 | Summon missiles from the sky to Attack the ground, dealing {num1}% damage and increasing your Defense by {num2}% for 5s
671 | 对目标敌人造成{num1}%伤害 | Deal {num1}% damage to the target enemy
672 | 向前方区域连续射出16枚导弹，每枚导弹造成{num1}%伤害 | Fires 16 missiles in rapid succession at the area ahead, each missile dealing {num1}% damage
673 | 向目标射出激光弹造成{num1}%伤害，每次攻击获得20点怒气 | Fires a laser shot at the target to deal {num1}% damage, gaining 20 Rage with each Attack
674 | 自身缓慢向空中飞起，手掌召唤激光射向敌方，对贯穿的敌人造成{num1}%伤害 | Slowly rises into the air oneself and summons a laser from the palm to strike enemies, dealing {num1}% damage to any enemies it pierces
675 | 向目标投掷飞镖造成{num1}%伤害，每次攻击获得20点怒气 | Throw a dart at the target to deal {num1}% damage, gaining 20 Rage with each Attack
676 | 向前扔出一个巨大的忍者镖造成{num1}%伤害，忍者镖到达终点后会返回，再次造成{num1}%伤害 | Hurl a massive shuriken forward to deal {num1}% damage; once it reaches its maximum range, it returns and deals {num1}% damage again
677 | 戳刺目标造成{num1}%伤害，每次攻击获得20点怒气 | Stab the target to deal {num1}% damage, gain 20 Rage with each Attack
678 | 对目标召唤巨型长枪从天而降，对目标范围造成{num1}%伤害，使命中单位造成伤害下降{num2}%，持续4秒 | Summons a gigantic lance to crash down from the sky onto the target, dealing {num1}% damage to enemies in the area and reducing damage dealt by hit units by {num2}% for 4s
679 | 挥拳造成{num1}%伤害，每次攻击获得20点怒气 | Punch deals {num1}% damage, gaining 20 Rage per Attack
680 | 发出一道冲击波，对沿途敌人造成{num1}%伤害 | Unleash a shockwave, dealing {num1}% damage to enemies along its path
681 | 狙击目标，造成{num1}%伤害，每次攻击获得22点怒气 | Snipe the target to deal {num1}% damage, gaining 22 Rage with each Attack
682 | 瞄准目标然后射出子弹，造成{num1}%伤害，目标血量每减少10%，伤害提高{num2}% | Aim at the target, then fire a shot to deal {num1}% damage. For every 10% of HP the target has lost, damage increases by {num2}%
683 | 对目标投掷炸弹，造成{num1}%伤害，每次攻击获得23点怒气 | Throw a bomb at the target, dealing {num1}% damage and gaining 23 Rage with each attack
684 | 目标区域召唤一个球形闪电，对周围敌人造成{num1}%伤害，使命中单位防御下降{num2}%，持续4秒 | Summon a ball of lightning in the target area, dealing {num1}% damage to nearby enemies and reducing hit units' Defense by {num2}% for 4s
685 | 向目标投掷魔术牌。造成{num1}%伤害，每次攻击获得24点怒气 | Throw a magic card at the target. Deal {num1}% damage, gaining 24 Rage with each attack
686 | 从背包拿出罐头，扔给周围单位，造成{num1}%治疗效果 | Take a can out of your Backpack and throw it to nearby units, restoring {num1}% health
687 | 挥鞭造成{num1}%伤害，每次攻击获得26点怒气 | Whips for {num1}% damage, gaining 26 Rage with each Attack
688 | 向前方挥出5鞭，每次造成{num1}%伤害 | Swing forward 5 times with your whip, each hit dealing {num1}% damage
689 | 挥砍造成{num1}%伤害，每次攻击获得22点怒气 | Deals {num1}% damage and generates 22 Rage per Attack
690 | 举起盾牌，重击面前的敌人造成{num1}%伤害 | Raise your shield and smash the enemy in front, dealing {num1}% damage
691 | 向目标射出弩箭造成{num1}%伤害，每次攻击获得20点怒气 | Fire a crossbow bolt at the target to deal {num1}% damage, gaining 20 Rage with each attack
692 | 连续射出5支弩箭，每支造成{num1}%伤害 | Fires 5 consecutive bolts, each dealing {num1}% damage
693 | 往前连续戳5次，每次造成{num1}%伤害 | Stab forward 5 times in a row, each hit dealing {num1}% damage
694 | 普攻造成{num1}%伤害，每次攻击获得20点怒气 | Normal Attack deals {num1}% damage, gaining 20 Rage with each Attack
695 | 对前方扇形区域连续喷射3次子弹，每次造成{num1}%伤害 | Fires bullets in a cone ahead 3 times in a row, each hit dealing {num1}% damage
696 | 必不可少的基础生存资源，也是避难所发展壮大的根基 | An essential basic survival resource and the foundation for the shelter’s growth and expansion
697 | 锻造台升级和建筑升级的必要资源，可在抵御尸潮玩法中获取 | A required resource for Forge Table Upgrades and building upgrades, can be obtained in Fend Off the Horde mode
698 | 坚实的铁矿，避难所建设发展的重要基础资源 | Solid Iron, a vital basic resource for the shelter’s construction and growth
699 | 优质的石材，建设避难所不可获缺的资源 | High-quality Stone, an indispensable resource for building your shelter
700 | 统帅点数 | VIP XP
701 | 通过参与联盟活动获得获取的个人积分，可在联盟商店兑换物品 | Personal Points earned by participating in Alliance Events can be used to exchange items in the Alliance Shop
702 | 体力 | Stamina
703 | 由发电厂产出的电力资源，可以支持避难所其他建筑运转 | Power generated by the Power Station, used to keep other Shelter buildings running
704 | 联盟资金，用于建造、升级联盟建筑 | Alliance Funds, used to construct and Upgrade Alliance Buildings
705 | 联盟经验值，用于提升联盟等级 | Alliance XP, used to increase Alliance level
706 | 联盟礼物积分 | Gift Points
707 | 永久开启第二建造队列，可以同时升级两个建筑 | Permanently enables the Extra Construction Quene, allowing you to upgrade two buildings at the same time
708 | 获得后自动使用：永久新增一个额外的出征编队 | Automatically used upon getting: permanently gives one additional march queue
709 | 闪耀的钻石 | Shining Gems
710 | 用于在生化医院复活死兵 | Used to revive dead soldiers in the Biohazard Hospital
711 | 可用于在竞技商店兑换道具 | Can be used to exchange items in the Arena Shop
712 | 炮舰对决活动中获取的珍贵道具，可用于在对决商店兑换所需物品 | A rare item obtained from the Gunboat Duel Events, can be used in the Duel Shop to exchange for desired items
713 | 在奇观争夺活动中获取，可用于在奇观商店兑换所需物品 | Obtained in Wonder Conquest Events, can be used in the Wonder Shop to exchange for required items
714 | 可视为充值货币，在充值时自动扣除 | Can be treated as top-up currency and will be deducted automatically when recharging
715 | 用于解锁沉船宝藏活动的奖励 | Used to unlock rewards in the Sunken Ship Treasure Event
716 | 使用后可以召唤丧尸巨狼 | Use to summon a Zombie Direwolf
717 | 从巨狼身上搜刮到的宝贝 | Treasures scavenged from a dire wolf
718 | 获取后自动使用刷出12次情报（必定刷出3个人口情报） | Automatically used upon obtaining. Generates Intel 12 times（Guaranteed to generate Population Intel 3 times）
719 | 消耗政令点颁布避难所政令，可获得强力加成。居民日常工作可产出政令，避难所满意度越高，产出政令点数越多 | Spend Decree Points to issue Shelter Decrees and gain powerful bonuses. Residents generate Decrees through their daily work, and the higher the Shelter Satisfaction, the more Decree Points you gain
720 | 机甲的躯干部分，是拼接机甲最基础的部件 | The torso of a mech is the most basic component used when assembling one
721 | 兼具灵活与力量的设计，可以向丧尸开炮 | A design that balances agility and power, capable of blasting zombies
722 | 与左臂一样的构造，双重火力轰炸丧尸 | Same construction as the left arm, dual cannons bombarding zombies
723 | 机甲战士需要腿部部件以灵活地移动 | Mech warriors need leg components to move flexibly
724 | 跟左腿一样，也是不可缺少的部件 | Just like the left leg, it’s also an indispensable part
725 | 操纵机甲的必要部件，组装机甲的最后一步 | An essential component for piloting a mech, and the final step in assembling one
726 | 使用后提升己方士兵攻击10%，持续2小时 | Upon use, increases allied soldiers' Attack by 10% for 2 hr
727 | 使用后提升己方士兵攻击20%，持续12小时 | Increases allied soldiers' Attack by 20% for 12 hr after use
728 | 使用后提升己方士兵防御10%，持续2小时 | Upon use, increases allied soldiers' Defense by 10% for 2 hr
