你是一个游戏本地化质检专家。请审查以下中英对照翻译，检查：
1. 错译 / 英文不自然
2. 漏译 / 语义偏差
3. 代码、标签（如 {icon1}、[color=xxx][/color]）、占位符格式错误
4. 术语一致性 — 必须使用标准术语表中的译法
5. 术语语法 — 检查术语的大小写（句首/句中）、单复数、冠词搭配

规则：
- 只列出需要修改的行
- 格式严格为：ID | 修正版译文
- 没有问题的行不要列出
- 如果全部没问题，回复"无需修改"

---以下是待审查内容（第4批，共4批）---

ID | 原文 | 译文
1602 | 建造不可以加速 | Construction cannot be speeded up
1603 | 没有可升级建筑 | No buildings available for Upgrade
1604 | 未解锁 | Not unlocked
1605 | 数量不能为0 | Quantity cannot be 0
1606 | 多余的加速道具已放入背包 | Extra Speedup items have been placed in your Backpack
1607 | 请先解锁相邻的区域 | Please unlock the adjacent area first
1608 | 金币产量为0 | Gold production is 0
1609 | 税收次数不足 | Not enough tax collections
1610 | 请先升级建筑设施 | Please upgrade your buildings first
1611 | 暂无可领取资源 | No resources available to claim
1612 | 暂无新的挂机奖励，请过一会再来领取 | No new idle rewards available. Please come back later to claim them
1613 | 破损状态下无法开启最大功率 | Cannot activate maximum power while damaged
1614 | 没有可升级建筑 | No buildings available for Upgrade
1615 | 请推进主线任务解锁对应建筑 | Advance the main story to unlock the corresponding building
1616 | 资源已补齐 | Resources replenished
1617 | 未拥有资源道具 | No resource items owned
1618 | 请推进主线任务解锁 | Please progress the main story to unlock this
1619 | 资源不足 | Not enough resources
1620 | 推进主线任务后解锁 | Unlocks after progressing the main story
1621 | 已发送申请 | Request Sent
1622 | 成功删除好友 | Friend removed successfully
1623 | 添加黑名单成功 | Added to blacklist successfully
1624 | 成功移除黑名单 | Removed from blacklist successfully
1625 | 没有聊天消息不能置顶 | You can’t pin chats when there are no messages
1626 | 输入内容不能为空 | Input cannot be empty
1627 | 设置成功 | Settings updated
1628 | 世界频道冷却中 | World channel is on cooldown
1629 | 暂未加入联盟 | Not yet in an Alliance
1630 | 人数已满 | Lobby full
1631 | 私聊频道冷却中 | Private chat is on cooldown
1632 | 复制成功 | Copied successfully
1633 | 已领取奖励 | Reward Claimed
1634 | 该玩家已不是您的盟友，不可协助 | This player is no longer your ally and cannot assist you
1635 | 当前暂无可用编队 | No formations available
1636 | 集结已结束 | Rally Ended
1637 | 没有进入奇观战场不可参与该集结 | You can’t join this Rally without entering the Wonder Battlefield
1638 | 正在奇观战场内无法跳转 | Cannot teleport while in the Wonder Battlefield
1639 | 集结已解散 | Rally disbanded
1640 | 该山洞已消失 | The cave has vanished
1641 | 该投票记录已过期 | This voting record has expired
1642 | {str}或者统帅{num}开启 | {str} or Commander {num} is activated
1643 | 金币不足 | Not enough Gold
1644 | 请先退出当前战斗 | Please exit the current battle first
1645 | 文本包含敏感词，请修改后重试 | Your text contains sensitive words. Please edit it and try again
1646 | 装饰物兑换券不足 | Not enough Decoration Vouchers
1647 | 当前碎片已足够升星 | You have enough shards to rank up
1648 | 星级已满 | Star level maxed
1649 | 道具不足 | Not enough items
1650 | 当前队列正在生产中 | The current queue is being produced
1651 | 当前不存在符合条件的装备或精粹 | There is currently no equipment or Essences that meet the criteria
1652 | 当前选择装备已经进行过升阶，请先将其分解 | The currently selected gear has already been advanced. Please dismantle it first
1653 | 职业不符 | Profession Mismatch
1654 | 不满足升阶所需条件 | Does not meet the requirements to advance
1655 | 已强化至当前等级上限 | Enhanced to current level cap
1656 | 背包容量已满 | Backpack is full
1657 | 您还未完成当前挑战 | You haven’t completed the current challenge yet
1658 | 调整成功 | Adjustment successful
1659 | 没有上阵士兵 | No soldiers deployed
1660 | 出征士兵数小于英雄数量，无法出征；请重新分配 | The number of deployed soldiers is less than the number of Heros, so you can’t deploy; please reassign
1661 | 英雄尚未召唤 | Heros have not yet been summoned
1662 | 拥有任意装备后解锁 | Unlocks after getting any equipment
1663 | 暂无当前英雄可用的装备 | No equipment currently available for this Heros
1664 | 共鸣英雄出征中，暂时无法调整模板英雄 | Resonance Heros are currently deployed. Template Heros cannot be adjusted for now
1665 | 英雄已满级 | Heros at max level
1666 | 请进化时代以提升英雄等级上限 | Evolve the Era to increase the Heros level cap
1667 | 请收集足够的英雄碎片 | Please collect enough hero shards of Heros
1668 | 不存在可穿戴宝物 | No wearable relics available
1669 | 技能升级道具数量不足 | Not enough skill upgrade items
1670 | 升至完整星级时可解锁技能等级上限 | Unlocks the skill level cap when upgraded to full star rating
1671 | 英雄碎片不足 | Not enough Heros shards
1672 | 请先选择一位英雄加入共鸣 | Please select a Heros first to join the Resonance
1673 | 该英雄已在共鸣栏位中 | This Heros is already in the Resonance slot
1674 | 该英雄无法作为共鸣英雄 | This Heros cannot be used as Resonance Heros
1675 | 请选择宝物 | Please select a relic
1676 | 数量不足 | Insufficient quantity
1677 | 不存在数量达到3的任意宝物 | There is no treasure of which you have three
1678 | 前方被迷雾遮挡，靠近后可以看清隐藏了什么 | The way ahead is shrouded in mist. Move closer to see what’s hidden
1679 | 请任意选择一个遗物 | Please choose any relic
1680 | 前往拜访朱莉后可购买 | Available for purchase after visiting Julie
1681 | 治愈成功 | Cure successful!
1682 | 未选中士兵 | No soldier selected
1683 | 未选择治疗的士兵 | No soldier selected for treatment
1684 | 活动未开始 | Events have not started yet
1685 | 没有活动数据 | No Events
1686 | 战斗中无法使用旋风斩 | Whirlwind Slash cannot be used in battle
1687 | 推进任务流程，修复情报站后可前往大世界 | Advance the mission and repair the Intel Hub to access the open world
1688 | 推进任务流程，修复情报站后可前往大世界 | Advance the mission progress and repair the Intel Hub to unlock access to the open world
1689 | 当前暂无可领取的奖励 | No rewards available to claim right now
1690 | 暂无空闲工人 | No idle workers
1691 | 没有到达该地块的路线，请先开辟相邻地块 | No path leads to this tile. Unlock an adjacent tile first
1692 | 有槽位为空，必须上阵一个相同类型的英雄 | If there is an empty slot, you must deploy Heros of the same type
1693 | 成功切换英雄 | Successfully switched Heros
1694 | 重伤冷却中, 无法切换英雄 | Severely wounded, on cooldown, cannot switch Heros
1695 | 更新冷却中, 无法切换英雄 | Update is on cooldown, cannot switch Heros
1696 | 工匠的锤子都抡冒烟啦，请耐心等待！ | The artisan’s hammer is smoking from all the work, please wait a moment!
1697 | 服务器未开放 | Server not open
1698 | 你收到了一封盟主弹劾邮件 | You’ve received an impeachment Mail against the alliance leader
1699 | 该联盟的申请已爆满！试试申请其他联盟吧！ | Applications for this Alliance are full! Try applying to another Alliance!
1700 | 已经申请过该联盟 | You have already applied to this Alliance
1701 | 当前您正在护送联盟列车，无法退出联盟 | You are currently escorting the Alliance train and cannot leave the Alliance
1702 | 非联盟成员 | Non-Alliance Member
1703 | 删除成功 | Deleted successfully
1704 | 请先领取奖励 | Please claim the reward first
1705 | 未领取奖励的邮件无法删除 | Mail with unclaimed rewards cannot be deleted
1706 | 请填写邮件内容 | Please fill in the email content
1707 | 邮件内容不合法 | Mail content is invalid
1708 | 请输入正确的坐标 | Please enter the correct coordinates
1709 | 没有可删除邮件 | No mail to delete
1710 | 没有可读和可领取邮件 | No mail to read or claim
1711 | 已成功发送 | Sent successfully
1712 | 该军事演练已达当前等级上限 | This Military drill has reached the current level cap
1713 | 领取成功 | Claim successful
1714 | 时代不满足 | unsatisfied with the times
1715 | 当前已有存储方案 | Existing save options
1716 | {buildtype_101}等级不足 | {buildtype_101}Level too low
1717 | 请先选择要获得的道具 | Please select the item you want to receive first
1718 | 差一点点就成功了，再来一次吧 | So close to winning! Try again
1719 | 请瞄准敌人进行射击 | Aim at the enemy and shoot
1720 | 暂无待安置居民 | No residents awaiting placement
1721 | 所有岗位均已委任内政官 | All posts are staffed with internal affairs officers
1722 | 没有可被委任的内政官 | No available domestic officer to appoint
1723 | 建筑不存在 | Building does not exist
1724 | 当前居民受伤治疗中，请等待居民恢复健康后再指派工作 | This resident is currently receiving treatment. Please wait until they have fully recovered before assigning any work
1725 | 请先把偷懒的土拨鼠抓回工作岗位 | Please first bring the slacking groundhogs back to their posts
1726 | 当前居民状态无法进行替换，请稍后再试 | The current resident cannot be replaced. Please try again later
1727 | 请先提升建筑等级 | Please upgrade the building first
1728 | 可接收的居民数量已达上限，请踢出无床的居民以接收新居民 | You’ve reached the maximum number of residents you can accept. Remove residents without a bed to make room for new ones
1729 | 请先建造餐厅 | Please build a Canteen first
1730 | 请先建造医务室 | Please build a Clinic first
1731 | 今日手动采集食物数量已达上限 | You’ve reached today’s limit for manually collecting Food
1732 | 今日手动采集木材数量已达上限 | You’ve reached today’s limit for manually gathering wood
1733 | 研究院未开启 | Research Institute locked
1734 | 请先解锁前置职位 | Please unlock the prerequisite job first
1735 | 由于您入盟未满4小时，无法参与尸潮来袭活动 | You can’t join the Horde Onslaught Events because you’ve been in the alliance for less than 4h
1736 | 由于您的{buildtype_101}未达10级，无法参与尸潮来袭活动 | You can’t join the Horde Onslaught Events because your {buildtype_101} is below level 10
1737 | 请先停止自动集结再进行设置 | Please stop Auto Rally before changing Settings
1738 | 加入联盟才可发起集结 | Join an Alliance to start a Rally
1739 | 该联盟已解散 | This Alliance has been disbanded
1740 | 保存成功 | Saved successfully
1741 | 复制昵称成功 | Nickname copied successfully
1742 | 复制id成功 | ID copied
1743 | 只有联盟官员及盟主才可邀请 | Only Alliance officers and the Alliance leader can send invitations
1744 | 请选择性别 | Please select gender
1745 | 名字字数过多 | Name is too long
1746 | 名字字数过少 | Name too short
1747 | 您的名称包含特殊字符，请换一个试试 | Your name contains special characters. Please try a different one
1748 | 修改成功 | Changed successfully
1749 | 该服务器创角人数已满，请到最新服游玩 | This server has reached the maximum number of characters. Please join the newest server to play
1750 | 每个服务器最多创建1名角色 | You can create up to 1 character per server
1751 | 激活码不能为空 | The activation code cannot be empty
1752 | 已登录该角色 | Already logged into this character
1753 | 图像质量低时不能开启该功能 | This feature cannot be enabled when image quality is low
1754 | 新手保护期间，已默认开启保护罩，无法重复开启 | During the newbie protection period, a shield is already active by default and cannot be activated again
1755 | 该目标已被标记 | This target has been marked
1756 | 可用标记已达上限 | You’ve reached the maximum number of available markers
1757 | 请选择标记类型 | Please select a marker type
1758 | 当前职位没有操作权限 | Your current role does not have permission to perform this action
1759 | 选择的宣战时间已过期，请重新修改 | The selected war declaration time has expired. Please set it again
1760 | 请先加入联盟 | Join an Alliance first
1761 | 当前宣战点不足, 无法宣战 | You don’t have enough war points to declare war
1762 | 首次宣战的领地只能为1级村庄 | The target for your first declaration of war can only be a Level 1 Village
1763 | 联盟领土未与该领地主城接壤，无法攻打 | The Alliance territory does not border this lord’s capital, so you can’t attack it
1764 | 仅有联盟官员可操作 | Only Alliance officers can perform this action
1765 | 仅能同时宣战1个领地 | You can only declare war on 1 territory at a time
1766 | 联盟人数不足，无法攻打 | Your Alliance does not have enough members to attack
1767 | 联盟战力不足，无法攻打 | Alliance Power is too low to attack
1768 | 联盟等级不足，无法攻打 | Alliance level too low to attack
1769 | 联盟领地数量已达上限 | Alliance territory limit reached
1770 | 修改宣战的时间不能和原时间相同 | The modified war declaration time cannot be the same as the original time
1771 | 核能基地种，只能派遣部队参与1个建筑的争夺 | In Nuclear Base Conquest, you can only dispatch troops to contest 1 building
1772 | 宣战时间为1:00-11:00，请在宣战时间内宣战 | War declaration time is 1:00-11:00, please declare war during this time
1773 | 加入联盟并建造军衔所才可发起集结 | You must join an Alliance and build the Rank Hall before you can initiate a Rally
1774 | 只能派遣1支部队前往增援盟友 | You can only send 1 troop to reinforce an ally
1775 | 已出局玩家无法发起集结 | Eliminated players cannot start a Rally
1776 | 由于您未参与本次活动，无法发起集结 | You didn’t join this Event, so you can’t start a Rally
1777 | 同时发起集结数量已达上限 | You have reached the maximum number of simultaneous Rallies
1778 | 暂无搜索结果 | No search results
1779 | 暂无空闲编队 | No idle formations available
1780 | 目标区域不可迁城 | You cannot relocate your city to the target area
1781 | 请移动到空地上 | Please move to an empty space
1782 | 科技升级需要条件未完成 | Technology upgrade requirements not met
1783 | 当前研究院正在升级中，暂时不能进行科技研究！ | The Institute is currently being upgraded and research is temporarily unavailable!
1784 | 研究完成 | Research Complete
1785 | 购买数量受限 | Purchase quantity is limited
1786 | 统帅等级不足 | Commander level too low
1787 | 商品已售罄 | Sold Out
1788 | 刷新次数已达上限 | You’ve reached the refresh limit
1789 | 配置方案设置成功 | Configuration settings set successfully
1790 | 该编队目前正在护送其他货车 | This convoy is currently escorting other cargo trucks
1791 | 已切换属性配置方案 | Attribute loadout switched
1792 | 请先建造港口 | Please build a port first
1793 | 没有可研究科技 | No Research Available
1794 | 自动出征中，无法修改设置 | Auto Deploy in progress. Settings cannot be changed
1795 | 体力不足，无法自动出征 | Not enough Stamina to auto-deploy
1796 | 军医所的伤兵已达设置的容量上限，无法自动出征 | The number of wounded in the Infirmary has reached its capacity limit and they can’t auto-deploy
1797 | 您设置的队伍名称和原名相同 | The team name you set is the same as the original name
1798 | 建筑已满级 | Building at max level
1799 | 更新成功 | Update successful
1800 | 今日掠夺避难所的收益已经达到上限！ | You’ve reached today’s loot limit for raiding shelters!
1801 | 部队负载不足，无法采集 | Troop Load is insufficient and cannot gather resources
1802 | 请先配置该编队方案 | Please set up this formation plan first
1803 | 请选择预设编队方案 | Please select a preset formation
1804 | 上阵列表不能为空 | The lineup cannot be empty
1805 | 参战部队英雄不能为空 | Participating troops must include Heros
1806 | 该编队正在护送货车，请至少保留1名英雄 | This squad is escorting a cargo truck. Keep at least 1 Heros
1807 | 您选择的角色所属编队在大地图行军中，无法调整编队，请等待队伍回城 | The formation your selected character belongs to is currently marching on the world map and cannot be adjusted. Please wait until the team returns to the city
1808 | 达到最高上限 | Reached the maximum limit
1809 | 请至少驻防5名英雄 | Garrison at least 5 Heros
1810 | 领取成功！ | Claim successful!
1811 | 需要发现该山洞的主人进入山洞后才可探索！ | You can only explore this cave after the cave’s owner has entered it!
1812 | 进入该神秘山洞探宝的人数已满！ | This mysterious cave is full of explorers!
1813 | 未加入联盟，无法分享！ | You must join an Alliance before you can share!
1814 | 分享成功！ | Shared successfully!
1815 | 只能派遣1支部队前往探宝 | You can only send 1 troop to explore
1816 | 当前无奖励可领取 | No rewards available to claim
1817 | 提升情报等级，解锁更多宝藏线索 | Increase your Intel level to unlock more treasure clues
1818 | 您已通关全部关卡，后续关卡敬请期待！ | You’ve cleared all stages. More stages coming soon!
1819 | 出征编队未设置 | Deployment lineup not set
1820 | 您已成功探索全部海域 | You have successfully explored all seas
1821 | 邮件已新增至收藏页签 | Mail has been added to Favorites tab
1822 | 取消收藏成功 | Removed from favorites successfully
1823 | 盟主弹劾期间，不能任免官员职位 | During the alliance leader impeachment, you cannot appoint or dismiss officers
1824 | 奇观活动进行中，暂不可退盟 | A Wonder Events event is in progress. You cannot leave the alliance now
1825 | 奇观活动进行中，暂不可解散 | The Wonder Events are in progress and cannot be disbanded
1826 | 盟主弹劾期间无法解散联盟 | You cannot disband the Alliance while an alliance leader impeachment is in progress
1827 | 已向联盟成员发起帮助请求 | Help request sent to Alliance members
1828 | 捐献次数已用完 | No donation attempts remaining
1829 | 仅有官员可以开启研究 | Only officials can start Research
1830 | 联盟科技未解锁 | Alliance Tech not unlocked
1831 | 手慢了，红包已被抢光 | Too slow—this red packet has already been claimed
1832 | 红包不存在 | The red packet does not exist
1833 | 分享成功 | Share succeeded
1834 | 请先设置联盟名称 | Please set the Alliance name first
1835 | 盟主弹劾期间无法重复发起弹劾，请留意投票邮件 | You can’t start another impeachment while one is already in progress. Please check your voting Mail
1836 | 无法对自己发起弹劾 | You cannot impeach yourself
1837 | 联盟人数不足，无法弹劾 | Alliance member count is too low to start an impeachment
1838 | 36小时内只能对同一个盟主发起一次弹劾 | You can impeach the same Alliance Leader only once every 36 hr
1839 | 围猎巨兽行动进行中，暂不可退盟 | Behemoth Hunt in progress. Leaving your alliance is temporarily unavailable
1840 | 争夺核能基地活动进行中，暂不可退盟 | You can’t leave the alliance while the Nuclear Base Conquest event is in progress
1841 | 尸潮来袭进行中,不能退出联盟 | Horde Onslaught in progress, you cannot leave the Alliance
1842 | 请移动建筑到开阔的城池区域 | Please move the building to an open area in your city
1843 | 请移动至联盟领土内进行建造 | Please move into Alliance territory to build
1844 | 请先选择一名成员作为列车长 | Please select a member to be the conductor first
1845 | 必须建造在联盟领土上，请先占领城池 | Must be built on Alliance territory. Capture a city first
1846 | 同时只能拥有1个联盟资源建筑 | You can only have 1 Alliance resource building at a time
1847 | 联盟资金不足，无法建造 | Insufficient Alliance Funds, cannot construct
1848 | 联盟全称不能为空 | Alliance full name cannot be empty
1849 | 联盟全称不符合规范 | The Alliance’s full name does not meet the requirements
1850 | 联盟简称不能为空 | Alliance abbreviation cannot be empty
1851 | 联盟简称不符合规范 | Alliance abbreviation is in an invalid format
1852 | 联盟盟主不能主动退出 | Alliance Leaders cannot leave voluntarily
1853 | 联盟人数已满，无法换盟 | The Alliance is full. You can’t switch Alliances
1854 | 不满足入盟条件 | You do not meet the requirements to join
1855 | 该联盟人数已达上限 | This Alliance has reached its member limit
1856 | 系统错误 | System Error
