你是一个游戏本地化质检专家。请审查以下中英对照翻译，检查：
1. 错译 / 英文不自然
2. 漏译 / 语义偏差
3. 代码、标签（如 {icon1}、[color=xxx][/color]）、占位符格式错误
4. 术语一致性 — 必须使用标准术语表中的译法
5. 术语语法 — 检查术语的大小写（句首/句中）、单复数、冠词搭配

规则：
- 只列出需要修改的行
- 格式严格为：ID | 修正版译文
- 没有问题的行不要列出
- 如果全部没问题，回复"无需修改"

---以下是待审查内容（第1批，共4批）---

ID | 原文 | 译文
85 | 是的，我们必须做好避难所的空间规划，首先我们需要搭建一个<font color =#0b9303>楼梯间</font>，方便上下。 | Yes, we need to make proper plans for the shelter’s space. First, we need to build a<font color =#0b9303>stairwell</font> so it’s easy to go up and down.
86 | 完工！继续开拓地块地块，建造医院吧！ | All done! Keep expanding plots and build an Infirmary!
87 | 满血复活，马上给我打造一套新的武器，我还要上战场！ | Back to full health! Forge me a new set of weapons, I’m heading straight back to the battlefield!
88 | 就是这样，土拨鼠勇士们持续战斗，就能守卫好避难所！ | And that’s how it is—if the marmot warriors keep fighting, they’ll be able to protect the shelter!
89 | 趁现在丧尸不多，我们需要尽快<font color =#0b9303>升级发电厂</font>，只有电力充足我们才可以继续扩张避难所！ | While there aren’t many zombies right now, we need to quickly <font color =#0b9303>Upgrade the Power Station</font>. Only with sufficient Power can we keep expanding the shelter!
90 | 噢！来了个大块头！看我怎么收拾他！ | Oh! A big guy just showed up! Watch how I take him down!
91 | 嘿嘿！别冲动浩克，丧尸BOSS力量强大，我们还是回到城门处整队，再一起出去挑战他！ | Heh heh! Easy there, Hulk—this zombie boss is crazy strong. Let’s fall back to the Gate, get everyone together, and then head out to take him on!
92 | 土拨鼠勇士拿上武器后，可以前往地面击退丧尸！ | Once the Marmot Warrior arms itself, it can head to the surface to repel the zombies!
93 | 土拨鼠受伤后可以在医院进行治疗 | After a groundhog is injured, it can be treated at the Infirmary
94 | 治愈后的土拨鼠勇士可以继续拿上武器去战斗！ | Once healed, the marmot warrior can take up arms and fight again!
95 | 既然安定下来了，我们必须要好好规划下避难所的发展。 | Now that things have settled down, we need to carefully plan the shelter’s Growth.
96 | 谢...谢谢你们让我们进来，我愿意做任何事情报答你们！ | Th-thank you for letting us in, I’ll do anything to repay you!
97 | 不用客气，我们现在是一条绳上的“土拨鼠”了。赶紧拿上武器，一起击退丧尸吧！ | No need to thank me. We’re in this together now. Grab a weapon and let’s push those zombies back together!
98 | 遵命！拿起武器，保卫我们的家园！ | Yes, sir! Take up arms and defend our homeland!
99 | 装备工坊的运作，需要一个像我一样的铁匠伙伴！ | Running the Equipment Workshop requires a blacksmith partner like me!
100 | 勇士们现在可以自行<font color =#0b9303>领取装备和武器</font>，上战场了。 | Warriors can now <font color =#0b9303> claim their gear and weapons</font> and head to the battlefield.
101 | 击退BOSS会掉落一些宝箱，让我们看看里面都有啥好东西！ | Defeating the boss will cause some treasure chests to drop, let’s see what goodies are inside!
102 | 越深入地下，土块似乎越来越难挖掘了。 | The deeper we go underground, the harder the soil seems to be to dig through.
103 | 对的，我们必须先借助核心的能量，将坚硬的岩石震碎，再分成<font color =#0b9303>小块</font>挖掘。 | Right, we first have to draw on the core’s energy to shatter the hard rock, then break it into small<font color =#0b9303> pieces</font>for extraction.
104 | 别心急，挖掘地块的过程也许会有些<font color =#0b9303>惊喜</font>呢？一块块来吧伙计。 | Easy there. You might find a few <font color =#0b9303>surprises</font> while you’re digging this plot. One patch at a time, partner.
105 | 噢我挖出了一堆<font color =#0b9303>金币</font>！ | Oh, I dug up a pile of <font color =#0b9303> Gold</font>!
106 | 果然是，开地有惊喜~ | Sure enough, Expand More Zone comes with surprises~
107 | 我准备在这建造一个宿舍，招收更多居民入住，毕竟避难所的发展需要不少人手。 | I’m planning to build a dormitory here and bring in more residents, since the shelter’s growth is going to need a lot of hands.
108 | 真好！我们的避难所终于有些生活气息了！ | Fantastic! Our shelter is finally starting to feel alive!
109 | 宿舍建好了！我将消息向废土广播，马上就有幸存者来投靠了，快去避难所门口接受新的居民吧！ | The Dormitory is finished! I broadcast the news across the wasteland, and survivors are already coming to seek shelter. Hurry to the shelter entrance and welcome your new residents!
110 | <font color =#0b9303>建筑功率</font>是衡量避难所发展程度的重要指标，地下建筑越多，建筑等级越高，建筑功率就会越大。 | <font color =#0b9303>Power Cost</font>is an important indicator of your shelter’s Growth; the more underground facilities you build and the higher their levels, the greater the Power Cost will be.
111 | 目前我们的建筑功率已经达标，可以继续升级避难所手册了。 | Our Power Cost now meets the requirement, so we can continue to Upgrade the Shelter Manual.
112 | 我们的避难所现在已初具规模！ | Our shelter is really starting to take shape now!
113 | 太好了！现在我们是不是不用担心丧尸会攻破我们避难所了！？ | Awesome! Does this mean we don’t have to worry about the zombies breaking into our shelter anymore!?
114 | 不是的，丧尸不断攻击，再坚固的城门也会有被冲破的危险。想要维持地下堡垒的平稳运转，我们必须<font color =#0b9303>不断击退丧尸</font>！ | No, with the zombies constantly launching attacks, even the sturdiest gate can still be in danger of being breached. If we want to keep the underground fortress running smoothly, we have to<font color =#0b9303> keep repelling the zombies</font>!
115 | 好耶，我们战胜了强大的丧尸BOSS！不过，在下一个丧尸BOSS来之前，我们必须抓紧完善避难所，变得更强！ | Nice, we took down that powerful zombie boss! But before the next zombie boss shows up, we need to hurry and upgrade our shelter so we can get even stronger!
116 | 你说得对！我打算在两个工坊旁边加上<font color =#0b9303>楼梯间</font>，这样可以大大缩短勇士们的移动距离。 | You’re absolutely right! I’m planning to add a <font color =#0b9303>stairwell</font> next to the two workshops so it can greatly shorten the distance our warriors have to travel.
117 | 好主意！我马上去开辟地块！建造楼梯间！ | Great idea! I’ll go open up a plot right away! And build the stairwell!
118 | 完工！再在武器工坊旁建造1个楼梯间，就可以完成“勇士快线”了。 | All done! Build 1 more stairwell next to the Armory and you’ll complete the “Warrior Express.”
119 | 太好啦！是核心能源！我要赶紧拿给发明家老头，修复发电厂。 | Awesome! It’s the core energy source! I’ve gotta hurry and bring it to that old inventor so we can fix the Power Station.
120 | 发电厂升级后，加装了一个滚轮，现在我们可以安排两只土拨鼠上去跑步发电了！ | After the Power Station Upgrade, we added a running wheel, so now we can have two groundhogs running on it to generate power!
121 | 快...快...我自己跑...不能偷懒，累死了鼠！ | H-Hurry... I’ll run on my own... No slacking, I’m dead tired, squeak, I’m beat!
122 | 我们之前储存的干粮快要见底了，我担心我们很快就要饿肚子了... | We’re running low on the rations we stored before, and I’m worried we’ll be going hungry soon...
123 | 怪我，一直忙着抵抗丧尸，忘记了避难所的开拓建设也同样重要。 | It’s on me—I’ve been so busy fighting off zombies that I forgot how important it is to keep expanding and building up the shelter.
124 | 我们挖一个空房间出来建造餐厅，再安排个居民当厨师，负责稳定地提供餐食，这样大家饿的时候可以自行前往餐厅。 | Let’s clear out an empty room to build a Canteen, then assign a resident as the cook to provide meals steadily, so everyone can head there on their own whenever they’re hungry.
125 | 嘿，铁匠，我们的勇士正在变多，因此我在考虑增加一些<font color =#0b9303>弓箭手</font>，远近配合，这会使我们的战斗实力变得更强！ | Hey, Blacksmith, our warriors are growing in number, so I’m thinking of adding some<font color =#0b9303>Archers</font>. With melee and ranged working together, our combat strength will be even greater!
126 | 以我现在的手艺难以制作你需要的武器，继续锤炼下我们已有的锻造台，<font color =#0b9303>获得更多星星，解锁弓箭锻造工艺</font>吧！ | With my current skills, it’s hard to craft the weapon you need. Keep upgrading our existing forge,<font color =#0b9303> earn more Stars, and unlock the Bow Forging technique</font>!
127 | 杰瑞，我已经学会了弓箭锻造，现在马上在武器工坊开辟一个<font color =#0b9303>弓箭锻造台</font>，打造你需要的远程武器！ | Jerry, I’ve just learned bow and arrow forging, and I’ll immediately set up a <font color =#0b9303>Bow and Arrow Forging Station</font> in the Armory to craft the ranged weapons you need!
128 | 以你们现在的势力，想对付这个大家伙恐怕还是有些困难，还是让我来助你们一臂之力吧！ | With the strength you’ve got right now, taking on this big guy is going to be tough. Let me lend you a hand!
129 | 小心，这次的丧尸BOSS看起来更强大了，不知道我们能不能坚持住... | Careful, this zombie boss looks even stronger this time, I don’t know if we can hold out...
130 | 我会战斗至最后一刻！ | I will fight to my last breath!
131 | 你刚才暴揍丧尸大块头那一招真实太帅了！你可以叫我浩克！真希望之后可以继续跟你一起作战！ | That move you just used to beat the crap out of that hulking zombie was insanely cool! You can call me Hulk! I really hope I get to keep fighting by your side!
132 | 我们现在正在搭建避难所，可以邀请你加入吗，我们现在缺少的就是你这样有着丰富战斗经验的英雄领队。 | We’re setting up a shelter right now. Can we invite you to join us? A seasoned Heros leader like you is exactly who we’re missing.
133 | 当然，比起在外面流浪的日子，还是有伴好多了。 | Of course, having someone by your side is still way better than those days wandering around alone.
134 | 正所谓巧鼠难为无米之炊，我想我们避难所需要个稳定的食物来源。 | As the saying goes, even the cleverest cook can’t make a meal without rice. I think our shelter needs a stable source of Food.
135 | 我这正好有些南瓜种子，如果能开辟一个种植园出来就好了。 | I happen to have some pumpkin seeds on me. If we could set up a Plantation, that would be great.
136 | 这不难，继续开辟地块就行！ | That’s easy, just keep opening up new plots of land!
137 | 种上我们最爱的南瓜！这下不用担心饿肚子啦~ | Plant our favorite pumpkins! Now we don’t have to worry about going hungry~
138 | 丧尸太多了，我们快要支撑不住了！ | There are too many zombies—we can’t hold out much longer!
139 | 该我出手咯！砰砰砰！我最喜欢轰炸丧尸群了！ | My turn to jump in! Bang, bang, bang! Blasting zombie hordes is my favorite thing!
140 | 还好有你及时出手相助，不得不说，对付丧尸群，还是炸弹好用！ | Good thing you jumped in when you did. I’ve gotta say, when it comes to dealing with a horde of zombies, bombs really are the way to go!
141 | 我也是偶然路过，我准备一边环游世界一边轰炸丧尸！ | I just happened to be passing by too. I’m planning to travel the world while blasting zombies!
142 | 这里有源源不断的丧尸，不知道你是否愿意留下来，跟我们一起击退入侵堡垒的丧尸群呢？ | There’s an endless horde of zombies here. Would you be willing to stay and help us push back the zombies invading the fortress?
143 | 我想我还是更喜欢环游世界，等到有一天我想找个避难所住下来，我也许会回来的！ | I think I still prefer traveling the world. Maybe one day, when I feel like finding a place to settle down, I’ll come back!
144 | 据我观察，每次避难所核心升级，爆发出来的能量扩散，都会使得地下的岩块发生松动，我们可以沿着这些裂开的岩石扩建地下避难所。 | From what I’ve observed, every time the shelter core gets an Upgrade, the burst of released energy loosens the rock underground, and we can extend the underground shelter along those newly opened cracks.
145 | 不过，当务之急还是先加强勇士实力，只有勇士们稳稳守住城门，我们才能腾出手来开辟地下区域。 | Still, our top priority is to strengthen the warriors first. Only when they can hold the Gate without fail can we free up our hands to open up the underground area.
146 | 没问题！我这就<font color =#0b9303>升级成长之路</font>，获取头盔制作工艺，帮助勇士增强实力！ | No problem! I’ll <font color =#0b9303>Upgrade the Path of Growth</font> right away, learn the helmet crafting technique, and help the warrior grow stronger!
147 | 我们现在学会了打造更多不同类型的装备，勇士们可以根据自己的需要挑选合适的装备。 | We’ve now learned how to forge a wider variety of gear, so warriors can choose the equipment that best suits their needs.
148 | 太好了，我的铠甲还可以接着用，请给我打造一件新的头盔！ | Awesome, my armor’s still good to go. Please forge me a new helmet!
149 | 救...救救我！这里有丧尸，要出鼠命啦！ | H-Help... somebody help me! There are zombies here, I’m gonna die like a rat!
150 | 冷静点，你跑的这么快，丧尸可追不上你。我说啥来着，这也是一种惊喜，对吧！ | Easy, take a breath. If you can run that fast, no zombie’s catching you. See? I told you, now that’s a nice little surprise, huh!
151 | 别紧张，地下的小丧尸通常行动缓慢，只会呆在原地，等我们英雄来收拾掉他们就行。 | Relax, the little zombies down below usually move slowly and just stay put, waiting for us Heros to come finish them off.
152 | 轻松解决！继续开地吧，现在没有丧尸了。 | All taken care of! Keep expanding the Expand More Zone, there are no zombies now.
153 | 呼~希望下块地开出来是宝箱不是丧尸。 | Phew~ Here’s hoping the next tile I flip is a treasure chest, not a zombie.
154 | 我们在不断的战斗中积攒了一些经验，是时候进行升级了！ | We’ve gained some experience from our constant battles—it’s time for an Upgrade!
155 | 我感受到我的力量变得更强了！ | I can feel my power growing stronger!
156 | 是招募号角！我们可以用号角向废土发出新号，招募更多英雄加入我们。 | It’s the Recruitment Horn! We can use the horn to send out a new call across the Wasteland and recruit more Heros to join us.
157 | 确实避难所的发展离不开英雄的帮助，事不宜迟，我们马上前去招募英雄！ | The shelter’s Growth really can’t happen without the help of Heros, so let’s go recruit some Heros without delay!
158 | 哈哈我从未见过如此坚固的堡垒，看来我这次来对地方了！ | Haha, I’ve never seen such a solid fortress before. Looks like I’ve come to the right place this time!
159 | 是你，喜欢研发的怪老头，好久不见，现在我们又能一起并肩作战了！ | It’s you, that eccentric old guy who loves developing things. Long time no see, we can fight side by side again now!
160 | 还有我们呢！我们一起守卫我们的堡垒！ | And don’t forget us! We’ll defend our fortress together!
161 | 自从有了健身房，大家工作之余都会到健身房练练，不仅变得健康强壮了，脸上的笑容也多了。 | Ever since the Gym was built, everyone has been dropping by to work out after work. Not only have they become healthier and stronger, but there are also a lot more smiles on their faces.
162 | 是的，尽管前线战事繁忙，但也不要忘了关注地下鼠民们的状态，有了大家的支持，我们才能更好地建设避难所。 | Yes. Even with the fighting raging on the front lines, we can’t afford to ignore how the ratfolk living underground are doing. With everyone’s support, we’ll be able to build a better shelter for all of us.
163 | 啊啊啊！怎么又是丧尸！ | Aaahhh! Zombies again?!
164 | 小心！这是丧尸BOSS，力量强大，会威胁避难所的安全，还是让我来清理掉他吧！ | Watch out! That’s a zombie BOSS, it’s incredibly strong and could threaten the safety of the shelter, so let me take it down!
165 | 我能感受到丧尸越来越强大，战斗变得更加艰难了！ | I can feel the zombies growing stronger and the fights getting tougher!
166 | 为了保护能源核心，我们必须不断提升自己，招募可以获得<font color =#0b9303>英雄碎片</font>，使用碎片升星可以大幅提升我们的实力。 | To protect the Energy Core, we must keep growing stronger. Recruit to obtain <font color =#0b9303> Heros Shards</font>, and use these shards to rank up stars for a huge boost to our power.
167 | 神奇的感觉，我确实能感到我的实力变强了！ | What an amazing feeling, I can really tell I’ve gotten stronger!
168 | 结实的装备！这可以让我应对更强的丧尸！ | Sturdy gear! This will let me take on stronger zombies!
169 | 着火啦！帮帮忙！救救我的厨房啊—— | Fire! Somebody help! Save my kitchen—
170 | 别慌，我们这就去灭火！ | Stay calm, we’ll put out the fire right now!
171 | 要是没有及时发现，我们的避难所可就要被烧没啦！ | If we hadn’t caught it in time, our shelter would’ve burned to the ground!
172 | 对不起，我也不知道这怎么就着火了... | Sorry, I have no idea how it suddenly caught fire...
173 | 在地下生活，用电用火少不了，有些安全隐患也是正常的。只要时常留意下，<font color =#0b9303>及时处理</font>就好了。 | Living underground, you can’t avoid using electricity and fire, so some safety risks are normal. Just keep an eye on things and<font color =#0b9303> deal with them in time</font> and that’ll be fine.
174 | 没错就是这里！这个地方有大量石矿，用来开采石料最合适不过了。 | Yep, this is the place! There’s a huge amount of stone ore here—perfect for quarrying building stone.
175 | 石料是重要的建设资源，我们马上建设一个石矿场！ | Stone is a vital construction resource, so let’s build a stone quarry right away!
176 | 采石场顺利完工！马上派遣1名石矿工，开场石料吧！ | The Quarry is complete! Dispatch 1 Stone Miner right away to start gathering stone!
177 | 看来图纸画的没错，在餐厅下面我们发现了大量的铁矿原石！ | Looks like the blueprints were right—we’ve discovered a huge amount of raw Iron ore beneath the Canteen!
178 | 马上建造一个铁矿场，有了这些资源，我们避难所的发展一定能更上一层楼。（不对，避难所是不是应该说“更下一层楼”呢？） | Let’s build an Iron Mine right away. With these resources, the Growth of our shelter will definitely reach the next level.（Or wait, for a shelter, should we say it’s going “down” a level instead?）
179 | 在充满危机的环境里生存，拥有一个强大的联盟非常重要！大人，建造一座联盟大厅，用来联络盟友吧！ | In a world full of danger, having a strong Alliance is crucial! My Lord, build an Embassy to stay in touch with your allies!
