你是一个游戏本地化质检专家。请审查以下中英对照翻译，检查：
1. 错译 / 英文不自然
2. 漏译 / 语义偏差
3. 代码、标签（如 {icon1}、[color=xxx][/color]）、占位符格式错误
4. 术语一致性 — 必须使用标准术语表中的译法
5. 术语语法 — 检查术语的大小写（句首/句中）、单复数、冠词搭配

规则：
- 只列出需要修改的行
- 格式严格为：ID | 修正版译文
- 没有问题的行不要列出
- 如果全部没问题，回复"无需修改"

---以下是待审查内容（第3批，共4批）---

ID | 原文 | 译文
1024 | 角斗场每日排行奖励 | Arena Daily Ranking Rewards
1025 | 角斗场赛季排行奖励 | Arena Season Ranking Rewards
1026 | 废土之王奖励补发 | Wasteland Overlord Reward Reissue
1027 | 废土之王排行榜奖励 | Wasteland Overlord Rankings Rewards
1028 | 废土之王总排行榜奖励 | Wasteland Overlord Overall Rankings Rewards
1029 | 充值补偿 | Top-up Compensation
1030 | 侦察失败 | Reconnaissance Failed
1031 | 体力返还 | Stamina Recovery
1032 | 首次加入联盟 | Join an Alliance for the first time
1033 | 驱逐通知 | Eviction Notice
1034 | 任命报告 | Appointment Report
1035 | 联盟通知 | Alliance Notice
1036 | 联盟公告 | Alliance Announcement
1037 | 采集报告 | Gathering Report
1038 | 采集部队返回 | Gathering Troops Returned
1039 | 联盟战役公告 | Alliance Campaign Announcement
1040 | 战役时间修改公告 | Campaign Time Adjustment Notice
1041 | 战役取消 | Campaign Canceled
1042 | 每日科技捐献奖励 | Daily Alliance Contribution Rewards
1043 | 每周科技捐献奖励 | Weekly Alliance Contribution Rewards
1044 | 盟主变更通知 | Alliance Leader Change Notice
1045 | 集结解散 | Rally Disband
1046 | 集结取消 | Rally Canceled
1047 | 远航试炼活动奖励 | Voyage Trial Event Rewards
1048 | 奇观争夺个人奖励 | Wonder Contest Personal Rewards
1049 | 奇观争夺拍卖竞拍成功 | Wonder auction won
1050 | 奇观争夺拍卖竞价被超过 | Your bid for the Wonder auction has been overbid
1051 | 奇观争夺拍卖钻石分红 | Wonder Contest Auction Gem Dividend
1052 | 首通{num}级巨人丧尸奖励 | First-time clear reward for level {num} Giant Zombie
1053 | 领地首占奖励 | First Territory Occupation Reward
1054 | 领地首占参与奖励 | Territory First Capture Participation Reward
1055 | 战役杀敌奖励 | Campaign Kill Rewards
1056 | 领地耐久拆除奖励 | Rewards for Demolishing Territory Durability
1057 | 联盟战役通知 | Alliance Campaign Notice
1058 | 新的联盟标记 | New Alliance Badge
1059 | 联盟总动员活动奖励补发 | Alliance Mobilization Event Reward Reissue
1060 | 联盟总动员活动排名奖励 | Alliance Total Mobilization Event Rank Rewards
1061 | 征服之路活动奖励补发 | Fortress Battle Event Reward Reissue
1062 | 征服之路活动排名奖励 | Fortress Battle Event Rank Rewards
1063 | 幸运转盘活动奖励补发 | Lucky Wheel Events Reward Reissue
1064 | 未使用的道具回收 | Unused Item Recovery
1065 | 荣耀馈礼奖励发放 | Glorious Gift Rewards Distribution
1066 | 决战核能基地奖励补发 | Nuclear Base Conquest Reward Reissue
1067 | 战役时间修改 | Campaign Time Adjustment
1068 | 盟主弹劾 | Impeach Alliance Leader
1069 | 领袖见习周活动奖励补发 | Leader Training Week Event Reward Reissue
1070 | 时空挑战活动奖励补发 | Time-Space Challenge Event Rewards Reissue
1071 | 废土之王积分补发 | Wasteland Overlord Points Reissue
1072 | 礼包购买成功 | Pack purchased successfully
1073 | 盟主弹劾结果 | Alliance Leader Impeachment Result
1074 | 活动道具回收 | Events Item Recovery
1075 | 召唤之旅活动奖励补发 | Summoning Journey Event Reward Resend
1076 | 召唤之旅活动排名奖励 | Summoning Journey Event Rank Rewards
1077 | 围猎巨兽行动灯塔拆除 | Behemoth Hunt Operation: Lighthouse Demolition
1078 | 围猎巨兽行动中止 | Behemoth Hunt aborted
1079 | 巨兽行动通知 | Giant Beast Operation Announcement
1080 | 围猎巨兽奖励 | Behemoth Hunt Rewards
1081 | 海啸来袭奖励 | Tsunami Incoming Rewards
1082 | 时代之巅活动奖励补发 | Pinnacle of the Era Event Reward Reissue
1083 | 时代之巅活动排名奖励 | Peak of the Era Event Rank Rewards
1084 | 巨兽行动取消 | Behemoth Operation Canceled
1085 | 炮舰对决报名失败 | Gunboat Duel registration failed
1086 | 炮舰对决报名成功 | Gunboat Duel registration successful
1087 | 炮舰对决获胜 | Gunboat Duel Victory
1088 | 炮舰对决落败 | Gunboat Duel Lost
1089 | 炮舰对决活动结束 | Gunboat Duel Events End
1090 | 秘境洞穴探索结算奖励 | Mystic Cave Exploration Settlement Rewards
1091 | 围猎巨兽击杀奖励 | Behemoth Hunt Kill Reward
1092 | 围猎巨兽击杀通知 | Behemoth Hunt Alert
1093 | 围猎巨兽行动结果公示 | Behemoth Hunt Operation Results Announcement
1094 | 围猎巨兽行动陷阱拆除 | Behemoth Hunt Operation: Trap Removal
1095 | 时空挑战任务奖励补发 | Time-Space Challenge Reward Reissue
1096 | 猎杀巨人丧尸奖励补发 | Reissue of Titan Zombie Hunt Rewards
1097 | 猎杀巨人丧尸联盟排行奖励 | Titan Zombie Hunt Alliance Leaderboard Rewards
1098 | 沉船宝藏奖励补发 | Reissued Sunken Ship Treasure Rewards
1099 | 海岛之星奖励补发 | Reissued Island Star Rewards
1100 | 开服冲刺活动奖励补发 | Power Rush Event Reward Resend
1101 | 讨伐尸王排名奖励 | The Undead King Rank Rewards
1102 | 一方有难，八方支援 | When one is in trouble, all sides come to their aid
1103 | 巨人丧尸币回收 | Giant Zombie Coin Recycle
1104 | 军衔资源返还 | Military Rank Resource Refund
1105 | 英雄调整资源返还和补偿 | Heros Adjustments: Resource Refund and Compensation
1106 | 部分道具回收 | Partial Item Recovery
1107 | 【尸潮来袭】战斗结果 | 【Horde Onslaught】Battle Results
1108 | 尸潮来袭个人排名奖励 | Horde Onslaught Personal Rank Rewards
1109 | 尸潮来袭联盟排名奖励 | Horde Onslaught Alliance Rank Rewards
1110 | 尸潮来袭开启通知 | Horde Onslaught Launch Notice
1111 | 未报名通知 | Unregistered Notification
1112 | 尸潮来袭结束 | Horde Onslaught Over
1113 | 神秘山洞奖励 | Mysterious Cave Rewards
1114 | 尸潮来袭奖励补发 | Horde Onslaught Compensation Rewards
1115 | 探宝部队返回 | Treasure Squad Returns
1116 | 情报站探索报告 | Intel Hub Exploration Report
1117 | 成长基金调整补偿 | Growth Fund Adjustment Compensation
1118 | 奇观争夺战功奖励补发 | Backdated Merit Rewards for the Wonder Contest
1119 | 每日居民满意度奖励 | Daily Resident Satisfaction Reward
1120 | 联盟发起了一个投票！ | The Alliance has started a vote!
1121 | 投票结果 | Voting Results
1122 | 镖车护送编队变动通知 | Escort Convoy Lineup Change Notice
1123 | {playername}被选为联盟商队船长！ | {playername} has been chosen as the Alliance caravan captain!
1124 | {playername}召唤了一趟黄金联盟商队！ | {playername} has summoned a Golden Alliance caravan!
1125 | {playername}的联盟商队已出发 | {playername}'s Alliance caravan has departed
1126 | {playername}的联盟商队已到达 | {playername}’s Alliance caravan has arrived
1127 | 联盟成就奖励补发 | Alliance Achievement Compensation
1128 | 累充豪礼奖励补发 | Resend Cumulative Top-up Grand Rewards
1129 | 时空回响奖励补发 | Echoes of Time Resend Rewards
1130 | 时空挑战奖励补发 | Chrono Challenge Reward Reissue
1131 | 城市侦察报告 | City Reconnaissance Report
1132 | 奇观争夺联盟奖励 | Alliance Rewards for Wonder Contest
1133 | 核能基地受到{name#3}攻击 | Nuclear Base {name#3} Attack
1134 | 奇观侦察报告 | Wonder Scouting Report
1135 | 决战核能基地个人排名奖励 | Nuclear Base Conquest Personal Rank Rewards
1136 | 您的城池已被随机迁移 | Your city has been randomly relocated
1137 | 成功阻止敌人侦察 | Successfully thwarted enemy reconnaissance
1138 | 围猎巨兽行动积分 | Behemoth Hunt Points
1139 | 围猎巨兽行动奖励 | Behemoth Hunt Operation Rewards
1140 | 邀请迁城通知 | City Relocation Invitation
1141 | 本次自动出征已结束 | This auto-deployment has ended
1142 | 清剿狼群奖励补发 | Slay the Wolves Reward Reissue
1143 | 七日行动奖励补发 | Trials 7-Day Rewards Reissued
1144 | 竞技装备行动奖励补发 | Competitive Gear Action Reward Reissue
1145 | 联盟对决奖励补发 | Alliance Duel Compensation Rewards
1146 | 联盟对决每日结算奖励 | Alliance Duel Daily Settlement Rewards
1147 | 联盟对决胜利奖励 | Alliance Duel Victory Reward
1148 | 联盟对决失败奖励 | Alliance Duel Defeat Rewards
1149 | 联盟对决每日参与奖励 | Alliance Duel Daily Participation Rewards
1150 | 石料周卡续订提醒 | Stone Weekly Card Renewal Reminder
1151 | 粮食周卡续订提醒 | Food Weekly Pack Renewal Reminder
1152 | 铁矿周卡续订提醒 | Iron Weekly Pass Renewal Reminder
1153 | 金币周卡续订提醒 | Gold Weekly Card Renewal Reminder
1154 | 联盟资源点侦察报告 | Alliance Resource Point Recon Report
1155 | 联盟资源点沦陷 | Alliance Resource Point Captured
1156 | 时间周卡续订提醒 | Weekly Pass Renewal Reminder
1157 | 资源周卡续订提醒 | Resource Weekly Pass Renewal Reminder
1158 | 您的统帅等级获得了提升，未领取的统帅免费礼包已通过邮件发放，请及时领取 | Your Commander Level has increased, and your unclaimed free Commander Pack has been sent via Mail. Please claim it in time
1159 | 亲爱的土拨鼠领袖：\n欢迎各位土拨鼠领袖参与本次测试，在这片神秘且充满挑战的原始大陆上，惊险又刺激的穿越之旅已经启程！\n本次测试将分为两个阶段：\n1.第一个阶段为删档测试，时间暂定为2023年12月18日10:00-12月18日20:30，测试结束后将会进行服务器清档，届时各位土拨鼠领袖角色数据将会被清除。\n（删档测试具体结束时间以最新游戏公告为准，将有可能根据实际情况提前或者延后，请各位土拨鼠领袖及时留意最新消息）\n2.第二个阶段为不删档测试，具体测试时间后续公布，该测试阶段数据保留，且会发放丰厚的开服奖励，我们欢迎各位土拨鼠领袖热情参与！\n（不删档测试开始时间以最新游戏公告为准，将有可能根据实际情况提前或者延后，请各位土拨鼠领袖及时留意最新消息） | Dear Marmot Leaders:\nThank you for joining this test. On this mysterious and challenging primordial continent, a thrilling and exciting adventure has already begun!\nThis test will be divided into two phases:\n1. The first phase is a closed beta with data wipe, tentatively scheduled for 10:00, Dec 18, 2023 - 20:30, Dec 18, 2023. Once this test ends, the servers will be wiped, and all Marmot Leader character data will be deleted.\n（The exact end time of the closed beta with data wipe is subject to the latest in-game announcement and may be moved earlier or later depending on actual circumstances. Please keep an eye on the latest news, Marmot Leaders.）\n2. The second phase is an open beta without data wipe. The specific test time will be announced later. Data from this phase will be retained, and generous launch rewards will be distributed. We warmly welcome all Marmot Leaders to take part with enthusiasm!\n（The start time of the open beta without data wipe is subject to the latest in-game announcement and may be moved earlier or later depending on actual circumstances. Please keep an eye on the latest news, Marmot Leaders.）
1160 | 报告长官，我方成功探测到对方城市内信息，获得以下重要情报 | Reporting in, Commander. We have successfully gathered Detail within the enemy city and obtained the following key Intel
1161 | 报告土拨鼠领袖，[color =#fa4343]{name}[/color]侦察了我方避难所，请组织防御准备应敌！ | Leader Groundhog, [color =#fa4343]{name}[/color] have scouted our shelter. Please organize the Defense and prepare to engage!
1162 | 由于医院容量已满，{num}士兵无法得到治疗而损失。您可以通过升级医院或研究特定科技提升医院容量上限，避免士兵损失！ | Because the Infirmary is at full capacity, {num} soldiers couldn’t be treated and were lost. You can avoid losing soldiers by upgrading your Infirmary or conducting specific Research to increase its capacity limit!
1163 | 亲爱的土拨鼠领袖，首先要恭喜您，今天您在擂台竞技中奋勇战斗，取得了第{num}名的好成绩。现将排名对应的奖励附于该邮件中发送给您，请查收。 | Dear Marmot Leader, first of all, congratulations! Today you fought bravely in the Ring and achieved an excellent result of Rank {num}. The rewards corresponding to this Rank have been attached to this mail and sent to you, please check and collect them.
1164 | 亲爱的土拨鼠领袖，首先要恭喜您，本赛季中您在擂台竞技里奋勇战斗，取得了第{num}名的好成绩。现将排名对应的奖励附于该邮件中发送给您，请查收。 | Dear Marmot Leader, first of all, congratulations! In this season you fought bravely in the Ring and achieved an excellent Rank of {num}. The rewards corresponding to your Rank are attached to this mail and have been sent to you, please check them.
1165 | 亲爱的土拨鼠领袖，您在废土之王中有未领取的任务奖励，现补发给您，请查收！ | Dear Marmot Leader, you have unclaimed quest rewards in Wasteland Overlord. We’re sending them to you now—please claim them!
1166 | 亲爱的土拨鼠领袖，您在今天的冲榜中排名第{num}名，以下是您的奖励，请查收！ | Dear Marmot Leader, your Rank in today’s leaderboard challenge is {num}, and here are your rewards—please claim them!
1167 | 亲爱的土拨鼠领袖，您在本次废土之王活动中排名第{num}名，以下是您的奖励，请查收！ | Dear Marmot Leader, you placed Rank {num} in the Wasteland Overlord Event, and here are your rewards—please claim them!
1168 | 亲爱的土拨鼠领袖大人，由于网络故障的原因，本次礼包购买失败。为此我们向您补偿等额的游戏充值代币，可用于购买游戏内相同价值的礼包。请查收，谢谢。 | Dear esteemed Marmot Leader, your Pack purchase has failed due to a network issue. As compensation, we are granting you an equivalent amount of Top-up Tokens, which can be used to buy a Pack of the same value in-game. Please check your account, thank you.
1169 | 报告领主大人，您侦察的目标已消失。 | Reporting, my Lord, the target you were scouting has vanished.
1170 | 报告长官，由于{desc}，我方斥候无法探测到对方城市内信息 | Reporting in, Commander. Due to {desc}, our scouts are unable to gather any Detail on the enemy city
1171 | 由于攻击己被取消，我们现将{num}体力返还给您 | Since the Attack has been canceled, we have returned {num} Stamina to you
1172 | 本次针对{name}的集结已取消，{num}点体力已返还。 | The Rally against {name} has been canceled, and {num} Stamina has been refunded.
1173 | 您已退出本次针对{name}的集结，{num}点体力已返还。 | You have left the Rally against {name}, and {num} Stamina has been refunded.
1174 | 尊敬的土拨鼠领袖，恭喜您首次加入联盟，好处多多等您探索！另外，这是给您的奖励，请查收~ | Honorable Groundhog Leader, congratulations on joining the Alliance for the first time—there are tons of benefits waiting for you to discover! Also, here’s a reward just for you, please check it~
1175 | 您已被{name}驱逐出联盟，原因为：{desc} | You have been expelled from {name} for the following reason: {desc}
1176 | 各位联盟成员，我们在此通知，{name}已经被正式任命为联盟{leadername} | Members of the Alliance, this is to inform you that {name} has been officially appointed as the Alliance {leadername}
1177 | 尊敬的领主，{rssname}[url =1,[urlparm]]{pos}[/url]已经有其他部队正在采集，您的部队将自动返回主堡。 | Dear Lord, {rssname}[url =1,[urlparm]]{pos}[/url]another troop is already gathering here, so your troop will automatically return to the castle.
1178 | 联盟官员[color =#a9fdff]{name}[/color]发起了一场战役，时间为[color =#a9fdff]{time}[/color]，目标为[color =#a9fdff]{cityname}[/color]，期盼您的参与！ | The Alliance officer[color =#a9fdff]{name}[/color] has launched a campaign, scheduled for [color =#a9fdff]{time}[/color], targeting [color =#a9fdff]{cityname}[/color], and looks forward to your participation!
1179 | 联盟官员[color =#a9fdff]{name}[/color]修改了针对[color =#a9fdff]{cityname}[/color]的战役时间，修改后的时间为[color =#a9fdff]{time}[/color]，期盼您的参与！ | Alliance official [color =#a9fdff]{name}[/color] has changed the campaign time against [color =#a9fdff]{cityname}[/color]. The new time is [color =#a9fdff]{time}[/color], and we look forward to your participation!
1180 | 联盟官员[color =#a9fdff]{name}[/color]取消了本次针对[color =#a9fdff]{cityname}[/color]的战役。 | Alliance officer[color =#a9fdff]{name}[/color] has called off the campaign against [color =#a9fdff]{cityname}[/color].
1181 | 本次针对{cityname}的宣战，由于长时间无人响应取消了，若需要攻打该领地，请重新发起宣战。 | The war declaration against {cityname} has been canceled because no one responded for a long time. If you still want to attack this territory, please declare war again.
1182 | 本次针对{cityname}的宣战，由于领地归属发生变更取消了，若需要攻打该领地，请重新发起宣战。 | The war declaration against {cityname} has been canceled because the ownership of the territory has changed. If you still want to attack this territory, please declare war again.
1183 | 本次针对{cityname}的宣战，由于领地守军已恢复取消了，若需要攻打该领地，请重新发起宣战。 | The war declaration against {cityname} has been canceled because the territory garrison has been restored. If you still wish to attack this territory, please declare war again.
1184 | 本次针对{cityname}的宣战，由于长时间没有发生交战取消了，若需要攻打该领地，请重新发起宣战。 | The war declaration against {cityname} has been canceled because no battle occurred for a long time. If you still wish to attack this territory, please declare war again.
1185 | 您在昨天联盟捐献排行榜中排行第{num}名，现给您发放排名奖励，感谢您对联盟建设的帮助！ | You ranked No.{num} in yesterday’s Alliance Rankings. Here is your rank reward—thank you for contributing to the Alliance’s development!
1186 | 您在上周联盟捐献排行榜中排行第{num}名，现给您发放排名奖励，感谢您对联盟建设的帮助！ | You ranked No.{num} in last week’s Alliance Donation Rankings. Here is your rank reward—thank you for your contribution to the Alliance!
1187 | 经过深思熟虑，{playername1}将盟主转让给了{playername2}，期望新任盟主能带领我们创造辉煌！ | After careful consideration, {playername1} has passed the alliance leadership to {playername2}, hoping the new leader will guide us to greatness!
1188 | 由于原盟主长时间离线，盟主一职将自动转让给{playername}，期望新任盟主能带领我们创造辉煌！ | As the former Alliance Leader has been offline for an extended period, the leadership will automatically be transferred to {playername}, and we hope the new Alliance Leader will lead us to glory!
1189 | 玩家{playername}解散了针对[color =#fa4343]{desc}[/color]的集结，您的部队将返回主堡。 | Player{playername} has canceled the Rally against [color =#fa4343]{desc}[/color], and your troops will return to the main castle.
1190 | 本次针对[color =#fa4343]{desc}[/color]的集结，由于目标消失解散了。 | The Rally targeting [color =#fa4343]{desc}[/color] has been disbanded because the target has disappeared.
1191 | 您发起的针对[color =#fa4343]{desc}[/color]的集结，由于无人参与取消了。 | The Rally you started against [color =#fa4343]{desc}[/color] was canceled because no one joined.
1192 | 恭喜您通过第{num1}级巨人丧尸挑战，在全服中排行第{num2}名，以下是您的奖励，请查收 | Congratulations! You cleared the Level {num1} Giant Zombie challenge and ranked No.{num2} on the server. Here are your rewards—please check them
1193 | 本次针对{desc}的集结，由于发起玩家的主堡被攻破取消了。 | The Rally against {desc} has been canceled because the initiator’s main castle was destroyed.
1194 | 您在本次奇观争夺的活动中，个人积分达到了{num}；以下是依据所在盟联盟排名与个人积分发放的奖励，请查收 | In this Wonders Clash Event, your personal Points reached {num}; based on your Alliance Rank and personal Points in this Event, the following rewards have been issued. Please check your mailbox
1195 | 恭喜您在本次竞拍活动中，以{num}钻石的价格成功竞拍到{itemName}！以下是您的竞拍物品，请查收。 | Congratulations! In this auction Event, you successfully won {itemName} with a bid of {num} Gems! Please check your auction item below.
1196 | {playerName}对{itemname}的出价超过了您，您的钻石已原路返回，欢迎继续参与竞价。 | {itemname} has outbid {playerName}. Your Gems have been returned, and you’re welcome to continue bidding.
1197 | 在本次竞拍中，本盟内总共成交了价值{num}钻石的拍品，现通过邮件将其均分给参与本次奇观争夺的玩家，请查收 | In this auction, items worth a total of {num} Gems were successfully sold in this Alliance. These will now be evenly distributed via Mail to all players who took part in this Wonder contest, so please check your inbox
1198 | 恭喜您首次战胜{num}级巨人丧尸，现给您发放首通奖励，请查收！ | Congratulations on defeating the {num}-level Giant Zombie for the first time. Here is your first-clear reward—please claim it!
1199 | 本次针对{desc}的集结，由于发起玩家退出联盟取消了。 | The Rally against {desc} has been canceled because the initiating player left the Alliance.
1200 | 您的联盟成功占领了{cityname}！由于你们是首个占领该领地的联盟，可获得丰厚奖励，请查收！ | Your Alliance has successfully captured {cityname}! As the first Alliance to take control of this territory, you’re entitled to a generous reward—please check your inbox!
1201 | 由于您参与了首占{cityname}的战役，您将获得丰厚的奖励，请查收！ | Because you took part in the {cityname} first capture campaign, you’ve earned generous rewards. Please check your inbox!
1202 | 您在首次占领{cityname}的战役中，做出了卓越贡献，获得了击杀守军榜的第{num}名，以下是您的奖励，请查收！ | In the campaign where you first captured {cityname}, you delivered an outstanding performance and took 1st place on the defender kill leaderboard. Please accept the following rewards! {num}
1203 | 您在首次占领{cityname}的战役中，做出了卓越贡献，获得了拆除耐久榜的第{num}名，以下是您的奖励，请查收！ | In the campaign where you first captured {cityname}, you made an outstanding contribution and took 1st place on the Structure Demolition Leaderboard. Here are your rewards—please check them! {num}
1204 | 联盟[color =#fa4343]{guildname}[/color]向我方发起了一场战役，时间为[color =#a9fdff]{time}[/color]，目标为[color =#a9fdff]{cityname}[/color]，请做好迎战准备！ | Alliance[color =#fa4343]{guildname}[/color] has launched a campaign against us, scheduled for [color =#a9fdff]{time}[/color], targeting [color =#a9fdff]{cityname}[/color]. Prepare to engage!
1205 | {careername}{playername}在位置[url =1,[urlparm]]{pos}[/url]设置了新的联盟标记！内容为：{content}。 | {careername}{playername}has set a new Alliance marker at location[url =1,[urlparm]]{pos}[/url]with the following content: {content}.
1206 | 亲爱的土拨鼠领袖，您在联盟总动员活动中有未领取的段位奖励，现补发给您，请查收！ | Dear Groundhog Leader, you have unclaimed rank rewards to claim from the Alliance All-Out Mobilization Events. We’re sending them to you now—please check your inbox!
1207 | 亲爱的土拨鼠领袖，您的联盟在联盟总动员活动中排名第{num}名，以下是您的奖励，请查收！ | Dear Groundhog Leader, your Alliance ranked {num} in the Alliance Total Mobilization Event. Here are your rewards—please claim them!
1208 | 亲爱的土拨鼠领袖，您在征服之路活动中有未领取的任务奖励，现补发给您，请查收！ | Dear Groundhog Leader, you have unclaimed mission rewards from the Fortress Battle event. We are now reissuing them to you—please check your inbox!
1209 | 亲爱的土拨鼠领袖，您的联盟在征服之路活动中排名第{num}名，以下是您的奖励，请查收！ | Dear Groundhog Leader, your Alliance ranked {num} in the Fortress Battle. Please claim your rewards below!
1210 | 亲爱的土拨鼠领袖，您在幸运转盘活动中有未领取的累计抽奖奖励，现补发给您，请查收！ | Dear Marmot Leader, you have unclaimed cumulative draw rewards to claim from the Lucky Wheel event. We are now sending them to you, please check your inbox!
1211 | 亲爱的土拨鼠领袖，您在幸运转盘活动中有未使用完毕的道具，现以{num1}钻石每个道具的价格回收。以下是您的钻石，请查收！ | Dear Marmot Leader, you have some unused items from the Lucky Wheel Event and will recycle them at {num1} Gems per item. Here are your Gems, please collect them!
1212 | 亲爱的土拨鼠领袖，您的联盟在决战核能基地活动中，斩获{name}的排名，以下是您的荣耀馈礼，请查收！ | Dear Groundhog Chief, your Alliance achieved Rank {name} in the Nuclear Base Conquest Events, and here are your rewards—please claim them!
1213 | 亲爱的土拨鼠领袖，您在决战核能基地活动中有未领取的积分奖励，现补发给您，请查收！ | Dear Groundhog Leader, you have unclaimed Points rewards from the Nuclear Base Conquest Events. We’re reissuing them to you now—please check your inbox!
1214 | 联盟[color =#fa4343]{guildname}[/color]取消了本次针对我盟领地[color =#a9fdff]{cityname}[/color]的战役。 | Alliance[color =#fa4343]{guildname}[/color] has canceled this campaign against our Alliance territory [color =#a9fdff]{cityname}[/color].
1215 | 联盟[color =#fa4343]{guildname}[/color]修改了本次针对我盟领地[color =#a9fdff]{cityname}[/color]的战役时间，修改后的时间为{time}，请做好迎战准备！ | Alliance[color =#fa4343]{guildname}[/color] has changed the time of this campaign targeting our Alliance territory [color =#a9fdff]{cityname}[/color]. The new time is {time}. Get ready for battle!
1216 | 本次针对{desc}的集结，由于目标归属发生变更解散了。 | The Rally targeting {desc} has been disbanded due to a change in target ownership.
1217 | 弹劾理由：{desc} | Impeachment reason: {desc}
1218 | 亲爱的土拨鼠领袖，您在领袖见习周活动中有未领取的任务奖励，现补发给您，请查收！ | Dear Marmot Leader, you have unclaimed mission rewards from the Leader Trainee Week Events. We are now sending them to your account, please check your inbox!
1219 | 亲爱的土拨鼠领袖，您在时空挑战活动中有未领取的任务奖励，现补发给您，请查收！ | Dear Marmot Leader, you have unclaimed quest rewards from the Time-Space Challenge Event. We are now re-sending them to you, please check your inbox!
1220 | 经过投票，{playername1}被弹劾成功，盟主一职将转让给{playername2}，期望新任盟主能带领我们创造辉煌！ | Following a vote, {playername1} has been successfully impeached, and the role of Alliance Leader will be transferred to {playername2}. We look forward to the new Alliance Leader leading us to greatness!
1221 | 亲爱的土拨鼠领袖，十分抱歉。废土之王活动第6阶段高歌猛进中，加速获取积分的数量有误，现已为您补发根据个人消耗折算的正确数量积分，请前往活动确认查收 | Dear Marmot Leader, we sincerely apologize. During Stage 6 of the Wasteland Overlord Events: Power Boost, the amount of Points gained from using Speedups was incorrect. We have now reissued the correct amount of Points based on your personal consumption—please go to the Events page to confirm and claim them
1222 | 恭喜！您已成功购买礼包：{name}。所有道具已发放至您的背包之中，请注意查收！ | Congratulations! You have successfully purchased the Pack: {name}. All items have been delivered to your Backpack, please check!
1223 | 经过投票，本次盟主弹劾没有成功，下次发起盟主弹劾需要经过36小时的冷却时间。{playername1}将继续带领我们的联盟，期望大家同心协力，再创辉煌！ | After the vote, the Alliance Leader impeachment has failed. You must wait 36 hr before starting another impeachment. {playername1} will continue to lead our Alliance. Let’s all work together and reach new heights of glory!
1224 | 由于本次攻击巨人丧尸失败，我们现将{num}体力返还给您 | Since the Attack on the giant zombie failed, we are refunding {num} Stamina to you
1225 | 您在{name}活动中的活动道具已回收，现通过邮件补发给您，请注意查收。 | The event items from the {name} Event have been reclaimed and are now being resent to you via Mail. Please check your inbox.
1226 | 由于您在盟内表现良好，已经被自动任命为官员，官员的权限有：宣战领地、审核入盟申请、研究联盟科技等，希望您能带领联盟！ | Thanks to your strong performance in the Alliance, you’ve been automatically promoted to Officer. As an Officer, you can declare territory wars, review Alliance join requests, conduct Alliance Research, and more. We hope you’ll lead the Alliance!
